'HEIRARCHY','DISTRICT','PROJ/BLOCK','CIRCLE/CLUSTER','ID','SCHOOLNAME','CATEGORY_DESC','MP CONST.','MP NAME','MLA CONST.','MLA NAME','WARD','CORPORATOR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',34162,'ISLAMPURA  1','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',34138,'ISLAMPURA','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',34140,'ISLAMPURA  2','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',29649,'JOUTHI NAGAR','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',29660,'ISLAM PURA 1 ST MAIN','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34124,'JYOTHINAGAR 1','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34122,'JYOTHINAGAR','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',35491,'ANNASANDRA PALYA','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',29658,'ISLAM PURA 2 MENI','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SHAKTHI',29589,'MODI ROAD MODI MASJEED D J HALLI','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SHAKTHI',29591,'SUGER MANDI DJ HALLI','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SHAKTHI',29595,'KHUSHAL NAGAR KB SANDERA','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',31,'NOOR JAN SHARIEFF',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SULTANPALYA',35468,'RAGGAPPA BLOCK','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SULTANPALYA',30975,'DODDANNANAGARA','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SULTANPALYA',34130,'MODI ROAD 2','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SULTANPALYA',34144,'REHMATH NAGAR','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','HEBBALA','KATTA SUBRAMANI NAIDU',34,'JAVEED AHMMED',
