"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","WARD /GRAMA PANCHAYATHI","CORPORATOR/PRESNT of panchayithi"
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31492,"MYLANA HALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31496,"B K HALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30866,"BAGLUR 1","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30886,"RAZZAQ PALYA 2","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30881,"RAZZAQ PALYA1","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31498,"BAYALA HALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31275,"YADIYURU","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31495,"MAHADEVA KODIGE HALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",29712,"CHOKKANA HALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30855,"B.S. PALYA","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31271,"HOOVINAYAKAN HALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31276,"HUNSURU","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33889,"MARANAHALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31504,"B.K.H.PALYA","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31532,"AREBANNIMANGALA","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31283,"MANCHAPANA HALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30870,"BAGLUR 2","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31251,"MARALUKUNTE","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31281,"HOSAHALLI  M","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33870,"MARANAHALLI BANDE","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33890,"DASANAYAKANAHALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30856,"BETTAHALASURU 2","Anganwadi","CHIKKABALLAPURA","M.VEERAPPAMOILY","YELAHANKA","S.R.VISHWANATH","BETTHALSURU","NANJAPPA"
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30841,"NARYIANAPURA","Anganwadi","CHIKKABALLAPURA","M.VEERAPPAMOILY","YELAHANKA","S.R.VISHWANATH","SONNAPPANAHALLI ",
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30843,"MUTHUGADAHALLI","Anganwadi","CHIKKABALLAPURA","M.VEERAPPAMOILY","BYATARAYANAPURA","KRISHNABYREGOWDA","CHIKKAJALA",
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33639,"TARAHUNASE I","Anganwadi","CHIKKABALLAPURA","M.VEERAPPAMOILY","YELAHANKA","S.R.VISHWANATH","BETTAHALSURU",
